📝 Logging to: logs\run_20260317_182343.log

🎬 Starting run — District: 401 cities | BMS: 579 cities
   Both sources run in PARALLEL (2 threads)
   District: 8 HTTP workers | BMS: 3 workers (fresh driver/city)
   Rate limits: District 5 req/s | BMS 3 req/s
   District: pure HTTP | BMS: Selenium (Cloudflare bypass)


🚀 [District] Starting — 401 cities, 8 parallel workers, 5 req/sec


🚀 [BMS] Starting — 579 cities, 3 parallel workers, 3 req/sec
   Fresh Chrome driver per city (Cloudflare bypass)

   ✅ [BMS] [69/579] Giddalur        → Markapur        | Shows: 6   | Gross: ₹66,000    
   ✅ [District] [106/401] Mummidivaram    → Amalapuram      | Shows: 7   | Gross: ₹642,600   
   ✅ [District] [108/401] Nagaram         → Guntur          | Shows: 8   | Gross: ₹732,500   
   ✅ [District] [92/401] Kurnool         → Kurnool         | Shows: 30  | Gross: ₹1,432,407 
   ✅ [District] [103/401] Martur          → Ongole          | Shows: 16  | Gross: ₹565,230   
   ✅ [District] [112/401] Nallamada       → Anantapur       | Shows: 1   | Gross: ₹5,400     
   ✅ [District] [47/401] Gajuwaka        → Visakhapatnam   | Shows: 165 | Gross: ₹7,142,201 
   ✅ [District] [117/401] Narsapur        → Bhimavaram      | Shows: 2   | Gross: ₹136,500   
   ✅ [District] [107/401] Mylavaram       → Vijayawada      | Shows: 19  | Gross: ₹1,725,300 
   ✅ [BMS] [74/579] Gudivada        → Vijayawada      | Shows: 3   | Gross: ₹235,100   
   ✅ [District] [116/401] Narasaraopet    → Guntur          | Shows: 10  | Gross: ₹380,980   
   ✅ [District] [101/401] Mandapeta       → Rajahmundry     | Shows: 40  | Gross: ₹4,118,386 
   ✅ [District] [118/401] Narsipatnam     → Visakhapatnam   | Shows: 20  | Gross: ₹405,515   
   ✅ [BMS] [78/579] Guntur          → Guntur          | Shows: 19  | Gross: ₹643,039   
   ✅ [District] [110/401] Naidupeta       → Nellore         | Shows: 32  | Gross: ₹1,391,250 
   ✅ [District] [109/401] Nagari          → Tirupati        | Shows: 12  | Gross: ₹6,300     
   ✅ [BMS] [80/579] Hanuman Junction → Vijayawada      | Shows: 1   | Gross: ₹19,300    
   ✅ [District] [120/401] Nellimarla      → Vizianagaram    | Shows: 18  | Gross: ₹559,391   
   ✅ [District] [124/401] Nuziveedu       → Vijayawada      | Shows: 7   | Gross: ₹758,400   
   ✅ [District] [125/401] Ongole          → Ongole          | Shows: 8   | Gross: ₹722,450   
   ✅ [District] [119/401] Neelapalle      → Kakinada        | Shows: 35  | Gross: ₹3,782,139 
   ✅ [District] [115/401] Narasannapeta   → Srikakulam      | Shows: 42  | Gross: ₹2,415,184 
   ✅ [District] [122/401] Nidadavolu      → Tanuku          | Shows: 19  | Gross: ₹1,682,520 
   ✅ [BMS] [84/579] Ichchapuram     → Srikakulam      | Shows: 1   | Gross: ₹37,500    
   ✅ [District] [130/401] Palamaner       → Chittoor        | Shows: 1   | Gross: ₹5,800     
   ✅ [District] [127/401] Palakol         → Bhimavaram      | Shows: 8   | Gross: ₹724,850   
   ✅ [District] [128/401] Palakollu       → Bhimavaram      | Shows: 7   | Gross: ₹526,750   
