Total mappings: 1275

  55 | RFNP  |    24973 |   0.003km | ns=1.000 | Rajhans Cinemas: 93 Avenue Mall,Fatima Nagar, Pune   <-> Rajhans Cinemas 93 Avenue Mall, Fatima Nagar, Pune
  56 | CCMP  |    59118 |   0.003km | ns=1.000 | Miraj Cinemas: Cineraj, Panvel                       <-> Miraj Cinemas : Cineraj, Panvel
  57 | MRJH  |     3621 |   0.003km | ns=1.000 | Miraj Cinemas: Aurbindo Mall, Howrah                 <-> Miraj Cinemas : Aurbindo Mall, Howrah
  58 | JTMN  |  1024433 |   0.003km | ns=1.000 | INOX: JTM Mall, Malviya Nagar                        <-> INOX JTM Mall, Malviya Nagar, Jaipur
  59 | INTM  |  1029912 |   0.003km | ns=1.000 | INOX: Jaswant Tuli Mall, Kamptee Road                <-> INOX Jaswant Tuli Mall, Kamptee Road, Nagpur
  60 | MRAA  |     9338 |   0.003km | ns=1.000 | Miraj Cinemas: A2A Central Mall, Balanagar           <-> Miraj Cinemas : A2A Central Mall, Balanagar
  61 | MALB  |  1042104 |   0.003km | ns=1.000 | Miraj Cinemas: Alark Square, Bhopal                  <-> Miraj Cinemas : Alark Square, Bhopal
  62 | CMMP  |  1053308 |   0.003km | ns=1.000 | Cinepolis: Modi Mall, Rampur                         <-> Cinepolis Modi Mall, Rampur
  63 | CPUM  |     1337 |   0.003km | ns=1.000 | Cinepolis: Unity One Mall Rohini, Delhi              <-> Cinepolis Unity One Mall, Rohini, New Delhi
  64 | MHKT  |  1040584 |   0.003km | ns=1.000 | Movietime Cinemas: Ratan Himachal Mall, Kanpur       <-> Movietime Cinemas, Ratan Himanchal Mall, Kanpur
  65 | CCBT  |     4978 |   0.003km | ns=1.000 | Matrix Cinemas: Matrix Mall, Beltola, Guwahati       <-> Matrix Cinemas : Matrix Mall, Beltola, Guwahati
  66 | MMLB  |  1102173 |   0.003km | ns=1.000 | MovieMax City Centre LA Mall: Bareilly               <-> MovieMax City Center LA Mall, Bareilly
  67 | INMH  |  1020777 |   0.003km | ns=1.000 | INOX: Maheshwari Parmeshwari Mall, Kachiguda         <-> INOX Maheshwari Parmeshwari Mall, Kachiguda, Hyderabad
  68 | GCGA  |     7541 |   0.003km | ns=1.000 | Gold Cinema, Govindpur Road: Gondia                  <-> Gold Cinema, Govindpur Road, Gondia
  69 | MRCH  |  1040665 |   0.003km | ns=1.000 | Movietime Cinemas: Raghunath City Mall, Haridwar     <-> Movietime Cinemas, Raghunath City Mall, Haridwar
  70 | PVVW  |  1022286 |   0.003km | ns=1.000 | PVR: Vegas Dwarka                                    <-> PVR Vegas, Dwarka, New Delhi
  71 | FSTD  |  1010468 |   0.003km | ns=1.000 | Funstar Cinemas: Vidhyadhar Nagar, Jaipur            <-> Funstar Cinemas, Vidhyadhar Nagar, Jaipur
  72 | ZTMP  |  1056680 |   0.003km | ns=1.000 | PVR: Zora The Mall, Raipur                           <-> PVR Zora The Mall, Raipur
  73 | ECPP  |  1019931 |   0.003km | ns=1.000 | INOX: Elpro City Square, Chinchwad                   <-> INOX Elpro City Square, Chinchwad, Pune
  74 | CGCB  |  1089929 |   0.003km | ns=1.000 | Cinepolis: Green City Square, Bathinda               <-> Cinepolis Cinemas, Green City Square, Bathinda
  75 | MPCH  |  1004161 |   0.003km | ns=1.000 | Mango Plus Cinemas: Nikol                            <-> Mango Plus Cinemas, Nikol, Ahmedabad
  76 | PECP  |  1025099 |   0.003km | ns=1.000 | PVR: Elante, Chandigarh                              <-> PVR Elante Mall, Chandigarh
